political_party,sitting_year,keyword,score
ανεξαρτητοι (εκτος κομματος),2018,μου,0.5637865526423186
ανεξαρτητοι (εκτος κομματος),2018,οποι,1.038764186522613
ανεξαρτητοι (εκτος κομματος),2018,πολιτικ,0.5423109524018154
ανεξαρτητοι (εκτος κομματος),2018,πρεπ,0.7373631318876477
ανεξαρτητοι (εκτος κομματος),2018,προεδρ,1.3486555505210913
ανεξαρτητοι (εκτος κομματος),2018,υπουργ,0.7975766605332238
ανεξαρτητοι (εκτος κομματος),2019,αρθρ,2.5204843157081496
ανεξαρτητοι (εκτος κομματος),2019,μου,1.7048723191307906
ανεξαρτητοι (εκτος κομματος),2019,οποι,2.288580796299685
ανεξαρτητοι (εκτος κομματος),2019,πολιτικ,1.4688967523452667
ανεξαρτητοι (εκτος κομματος),2019,πρεπ,0.2945633449620263
ανεξαρτητοι (εκτος κομματος),2019,προεδρ,1.3020524286013513
ανεξαρτητοι (εκτος κομματος),2019,τραπεζ,0.14991354267256643
ανεξαρτητοι (εκτος κομματος),2019,υγει,0.44604262365704794
ανεξαρτητοι (εκτος κομματος),2020,αρθρ,1.0928120845477505
ανεξαρτητοι (εκτος κομματος),2020,μου,0.17685244787056134
ανεξαρτητοι (εκτος κομματος),2020,νομοσχεδι,0.31721057480109116
ανεξαρτητοι (εκτος κομματος),2020,οποι,1.2602307383517237
ανεξαρτητοι (εκτος κομματος),2020,πολιτικ,0.3549344620592937
ανεξαρτητοι (εκτος κομματος),2021,αρθρ,0.48224879786267294
ανεξαρτητοι (εκτος κομματος),2021,νομοσχεδι,0.6503814968965451
ανεξαρτητοι (εκτος κομματος),2021,οποι,0.8576322119410076
ανεξαρτητοι (εκτος κομματος),2021,υγει,0.11021493493430141
ανεξαρτητοι (εκτος κομματος),2022,αρθρ,0.42244080593116595
ανεξαρτητοι (εκτος κομματος),2022,νομοσχεδι,0.3910333774350718
ανεξαρτητοι (εκτος κομματος),2022,οποι,1.1235565243305283
ανεξαρτητοι (εκτος κομματος),2022,πολιτικ,0.30176614324878465
ανεξαρτητοι (εκτος κομματος),2022,πρεπ,0.11133758025963532
ανεξαρτητοι (εκτος κομματος),2022,προεδρ,0.6285474531426248
ανεξαρτητοι (εκτος κομματος),2022,τραπεζ,0.21176235651040662
ανεξαρτητοι (εκτος κομματος),2022,υγει,0.549596467373684
ανεξαρτητοι (εκτος κομματος),2022,υπουργ,0.7021667362510119
